frame_number,timestamp,health_index,unhealthy_ratio_percent,health_status
0,2026-01-09 10:12:12.735,0.11,99.89,Unhealthy
1,2026-01-09 10:12:12.997,0.10,99.90,Unhealthy
2,2026-01-09 10:12:13.120,0.07,99.93,Unhealthy
3,2026-01-09 10:12:13.195,0.09,99.91,Unhealthy
4,2026-01-09 10:12:13.263,0.08,99.92,Unhealthy
5,2026-01-09 10:12:13.358,0.09,99.91,Unhealthy
6,2026-01-09 10:12:13.421,0.09,99.91,Unhealthy
7,2026-01-09 10:12:13.506,0.09,99.91,Unhealthy
8,2026-01-09 10:12:13.574,0.08,99.92,Unhealthy
9,2026-01-09 10:12:13.633,0.08,99.92,Unhealthy
10,2026-01-09 10:12:13.680,0.07,99.93,Unhealthy
11,2026-01-09 10:12:13.737,0.08,99.92,Unhealthy
12,2026-01-09 10:12:13.793,0.07,99.93,Unhealthy
13,2026-01-09 10:12:13.840,0.09,99.91,Unhealthy
14,2026-01-09 10:12:13.885,0.08,99.92,Unhealthy
15,2026-01-09 10:12:13.937,0.10,99.90,Unhealthy
16,2026-01-09 10:12:13.985,0.09,99.91,Unhealthy
17,2026-01-09 10:12:14.033,0.10,99.90,Unhealthy
18,2026-01-09 10:12:14.094,0.08,99.92,Unhealthy
19,2026-01-09 10:12:14.134,0.09,99.91,Unhealthy
20,2026-01-09 10:12:14.185,0.08,99.92,Unhealthy
21,2026-01-09 10:12:14.232,0.09,99.91,Unhealthy
22,2026-01-09 10:12:14.272,0.08,99.92,Unhealthy
23,2026-01-09 10:12:14.313,0.09,99.91,Unhealthy
24,2026-01-09 10:12:14.355,0.08,99.92,Unhealthy
25,2026-01-09 10:12:14.393,0.10,99.90,Unhealthy
26,2026-01-09 10:12:14.434,0.09,99.91,Unhealthy
27,2026-01-09 10:12:14.473,0.10,99.90,Unhealthy
28,2026-01-09 10:12:14.526,0.10,99.90,Unhealthy
29,2026-01-09 10:12:14.566,0.10,99.90,Unhealthy
30,2026-01-09 10:12:14.616,0.11,99.89,Unhealthy
31,2026-01-09 10:12:14.665,0.13,99.87,Unhealthy
32,2026-01-09 10:12:14.708,0.14,99.86,Unhealthy
33,2026-01-09 10:12:14.752,0.13,99.87,Unhealthy
34,2026-01-09 10:12:14.792,0.13,99.87,Unhealthy
35,2026-01-09 10:12:14.830,0.13,99.87,Unhealthy
36,2026-01-09 10:12:14.869,0.14,99.86,Unhealthy
37,2026-01-09 10:12:14.913,0.13,99.87,Unhealthy
38,2026-01-09 10:12:14.952,0.12,99.88,Unhealthy
39,2026-01-09 10:12:14.989,0.11,99.89,Unhealthy
40,2026-01-09 10:12:15.043,0.11,99.89,Unhealthy
41,2026-01-09 10:12:15.086,0.10,99.90,Unhealthy
42,2026-01-09 10:12:15.124,0.11,99.89,Unhealthy
43,2026-01-09 10:12:15.161,0.11,99.89,Unhealthy
44,2026-01-09 10:12:15.200,0.12,99.88,Unhealthy
45,2026-01-09 10:12:15.237,0.11,99.89,Unhealthy
46,2026-01-09 10:12:15.274,0.13,99.87,Unhealthy
47,2026-01-09 10:12:15.314,0.12,99.88,Unhealthy
48,2026-01-09 10:12:15.355,0.14,99.86,Unhealthy
49,2026-01-09 10:12:15.395,0.11,99.89,Unhealthy
50,2026-01-09 10:12:15.448,0.12,99.88,Unhealthy
51,2026-01-09 10:12:15.485,0.11,99.89,Unhealthy
52,2026-01-09 10:12:15.523,0.14,99.86,Unhealthy
53,2026-01-09 10:12:15.563,0.11,99.89,Unhealthy
54,2026-01-09 10:12:15.604,0.13,99.87,Unhealthy
55,2026-01-09 10:12:15.652,0.13,99.87,Unhealthy
56,2026-01-09 10:12:15.696,0.11,99.89,Unhealthy
57,2026-01-09 10:12:15.732,0.12,99.88,Unhealthy
58,2026-01-09 10:12:15.782,0.11,99.89,Unhealthy
59,2026-01-09 10:12:15.828,0.12,99.88,Unhealthy
