frame_number,timestamp,health_index,unhealthy_ratio_percent,health_status
0,2026-01-09 10:02:34.650,0.18,99.82,Unhealthy
1,2026-01-09 10:02:34.921,0.18,99.82,Unhealthy
2,2026-01-09 10:02:34.961,0.17,99.83,Unhealthy
3,2026-01-09 10:02:35.007,0.18,99.82,Unhealthy
4,2026-01-09 10:02:35.050,0.18,99.82,Unhealthy
5,2026-01-09 10:02:35.088,0.18,99.82,Unhealthy
6,2026-01-09 10:02:35.118,0.18,99.82,Unhealthy
7,2026-01-09 10:02:35.153,0.18,99.82,Unhealthy
8,2026-01-09 10:02:35.184,0.18,99.82,Unhealthy
9,2026-01-09 10:02:35.214,0.19,99.81,Unhealthy
10,2026-01-09 10:02:35.242,0.19,99.81,Unhealthy
11,2026-01-09 10:02:35.276,0.18,99.82,Unhealthy
12,2026-01-09 10:02:35.301,0.18,99.82,Unhealthy
13,2026-01-09 10:02:35.325,0.18,99.82,Unhealthy
14,2026-01-09 10:02:35.355,0.18,99.82,Unhealthy
15,2026-01-09 10:02:35.378,0.19,99.81,Unhealthy
16,2026-01-09 10:02:35.402,0.19,99.81,Unhealthy
17,2026-01-09 10:02:35.427,0.18,99.82,Unhealthy
18,2026-01-09 10:02:35.453,0.18,99.82,Unhealthy
19,2026-01-09 10:02:35.477,0.18,99.82,Unhealthy
20,2026-01-09 10:02:35.504,0.18,99.82,Unhealthy
21,2026-01-09 10:02:35.533,0.18,99.82,Unhealthy
22,2026-01-09 10:02:35.572,0.18,99.82,Unhealthy
23,2026-01-09 10:02:35.596,0.17,99.83,Unhealthy
24,2026-01-09 10:02:35.620,0.17,99.83,Unhealthy
25,2026-01-09 10:02:35.639,0.17,99.83,Unhealthy
26,2026-01-09 10:02:35.659,0.17,99.83,Unhealthy
27,2026-01-09 10:02:35.678,0.17,99.83,Unhealthy
28,2026-01-09 10:02:35.698,0.17,99.83,Unhealthy
29,2026-01-09 10:02:35.715,0.17,99.83,Unhealthy
30,2026-01-09 10:02:35.739,0.18,99.82,Unhealthy
31,2026-01-09 10:02:35.758,0.17,99.83,Unhealthy
32,2026-01-09 10:02:35.778,0.18,99.82,Unhealthy
33,2026-01-09 10:02:35.796,0.18,99.82,Unhealthy
34,2026-01-09 10:02:35.816,0.18,99.82,Unhealthy
35,2026-01-09 10:02:35.834,0.18,99.82,Unhealthy
36,2026-01-09 10:02:35.856,0.18,99.82,Unhealthy
37,2026-01-09 10:02:35.876,0.18,99.82,Unhealthy
38,2026-01-09 10:02:35.895,0.18,99.82,Unhealthy
39,2026-01-09 10:02:35.915,0.18,99.82,Unhealthy
40,2026-01-09 10:02:35.934,0.18,99.82,Unhealthy
41,2026-01-09 10:02:35.952,0.18,99.82,Unhealthy
42,2026-01-09 10:02:35.970,0.19,99.81,Unhealthy
43,2026-01-09 10:02:35.988,0.18,99.82,Unhealthy
44,2026-01-09 10:02:36.006,0.18,99.82,Unhealthy
45,2026-01-09 10:02:36.024,0.18,99.82,Unhealthy
