frame_number,timestamp,health_index,unhealthy_ratio_percent,health_status
0,2026-01-09 10:17:59.177,50.48,49.52,Moderate
1,2026-01-09 10:17:59.387,50.48,49.52,Moderate
2,2026-01-09 10:17:59.487,50.48,49.52,Moderate
3,2026-01-09 10:17:59.577,50.47,49.53,Moderate
4,2026-01-09 10:17:59.638,50.48,49.52,Moderate
5,2026-01-09 10:17:59.700,50.48,49.52,Moderate
6,2026-01-09 10:17:59.755,50.48,49.52,Moderate
7,2026-01-09 10:17:59.805,50.48,49.52,Moderate
8,2026-01-09 10:17:59.851,50.48,49.52,Moderate
9,2026-01-09 10:17:59.919,50.47,49.53,Moderate
10,2026-01-09 10:17:59.970,50.47,49.53,Moderate
11,2026-01-09 10:18:00.026,50.47,49.53,Moderate
12,2026-01-09 10:18:00.079,50.47,49.53,Moderate
13,2026-01-09 10:18:00.128,50.47,49.53,Moderate
14,2026-01-09 10:18:00.193,50.46,49.54,Moderate
15,2026-01-09 10:18:00.243,50.46,49.54,Moderate
16,2026-01-09 10:18:00.311,50.46,49.54,Moderate
17,2026-01-09 10:18:00.365,50.47,49.53,Moderate
18,2026-01-09 10:18:00.423,50.46,49.54,Moderate
19,2026-01-09 10:18:00.482,50.46,49.54,Moderate
20,2026-01-09 10:18:00.529,50.46,49.54,Moderate
21,2026-01-09 10:18:00.581,50.45,49.55,Moderate
22,2026-01-09 10:18:00.635,50.45,49.55,Moderate
23,2026-01-09 10:18:00.670,50.45,49.55,Moderate
24,2026-01-09 10:18:00.713,50.45,49.55,Moderate
25,2026-01-09 10:18:00.773,50.45,49.55,Moderate
26,2026-01-09 10:18:00.820,50.45,49.55,Moderate
27,2026-01-09 10:18:00.872,50.45,49.55,Moderate
28,2026-01-09 10:18:00.918,50.44,49.56,Moderate
29,2026-01-09 10:18:00.962,50.43,49.57,Moderate
30,2026-01-09 10:18:01.005,50.44,49.56,Moderate
31,2026-01-09 10:18:01.053,50.44,49.56,Moderate
32,2026-01-09 10:18:01.092,50.44,49.56,Moderate
33,2026-01-09 10:18:01.131,50.44,49.56,Moderate
34,2026-01-09 10:18:01.170,50.44,49.56,Moderate
35,2026-01-09 10:18:01.203,50.44,49.56,Moderate
36,2026-01-09 10:18:01.249,50.44,49.56,Moderate
37,2026-01-09 10:18:01.292,50.44,49.56,Moderate
38,2026-01-09 10:18:01.340,50.44,49.56,Moderate
39,2026-01-09 10:18:01.392,50.43,49.57,Moderate
40,2026-01-09 10:18:01.433,50.43,49.57,Moderate
41,2026-01-09 10:18:01.476,50.44,49.56,Moderate
